url,abstract,title
https://www.gcs66.com/document_detail/3341,分产业看：第一产业实现增加值0.81亿元，增长4.0%;第二产业实现增加值9.<b>2</b>亿元，增长3.0%;第三产业实现增加值56.24亿元，增长3.5%。 三次产业结构比为1.<b>2</b>：13.9：84.9，产业结构进一步优化。 第一产业、第二产业、第三产业对全市<b>经济</b>增长的贡献率分别为<b>2</b>.0%、11.3%、86.7%。 按常住人口计算，全年人均地区生产总值实现94739元，同比增长4.6%。 年末全市常住人口72514人 (居住本地区半年以上)，比上年末增加5174人，同比增长7.7%。 其中：城镇人口70593人;乡村人口1921人。 常住人口城镇化率97.3%。 户籍人口中全年出生386人，死亡57人。 人口自然增长率5.69‰。 全年征集就业岗位1826个，新增就业786人，城镇登记失业率降至<b>2</b>%。,2019年锡林郭勒盟二连浩特市国民经济和社会发展统计公报 ...
https://www.sohu.com/a/390223671_120205765,初步核算，全年全市实现生产总值66.25亿元，按第四次全国经济普查修订数据后的同口径可比价计算，增长3.5%。 分产业看：第一产业实现增加值0.81亿元，增长4.0%;第二产业实现增加值9.2亿元，增长3.0%;第三产业实现增加值56.24亿元，增长3.5%。 三次产业结构比为1.2：13.9：84.9，产业结构进一步优化。 第一产业、第二产业、第三产业对全市经济增长的贡献率分别为2.0%、11.3%、86.7%。 按常住人口计算，全年人均地区生产总值实现94739元，同比增长4.6%。 年末全市常住人口72514人（居住本地区半年以上），比上年末增加5174人，同比增长7.7%。 其中：城镇人口70593人；乡村人口1921人。 常住人口城镇化率97.3%。,二连浩特市2019年 国民经济和社会发展统计公报_全年 - 搜狐
https://www.quyushuju.com/forum.php?mod=viewthread&tid=47909,"<b>2019年二连浩特市国民经济和社会发展统计公报2019年</b>，<b>全市上下</b>坚持以习近平新时代中国特色社会主义思想为指导，深入学习贯彻党的十九大和十九届二中、三中、四中全会精神 ... 2019年二连浩特市国民经济和社会发展统计公报 ,区域数据",2019年二连浩特市国民经济和社会发展统计公报 - 省市县统计 ...
http://www.elht.gov.cn/zfsj/tjsj/,"<b>二连浩特市人民</b>政府办公室主办,是<b>二连浩特市</b>人民政府办公室及各部门在互联网上发布政府信息和提供在线服务的综合平台,第一时间权威发布二连浩特市重大决策部署和重要政策文件,二连浩特市领导同志重要会议、考察、出访活动等政务信息,面向社会提供与 ...",统计数据_二连浩特市人民政府 - elht
https://www.zgtjnj.org/navipage-n3019121603000464.html,"【条目包含内容】: 20-66 锡林郭勒盟二<b>连浩</b>特<b>市</b>,锡林郭勒盟二<b>连浩</b>特<b>市</b>,指标,增长,行政区域土地面积 (平方公里),人口<b>和</b>就业,年末户籍户数 (户),年末户籍人口 (人),<b>国民经济</b>综合指标,生产总值 (万元),第一产业 (万元),第<b>二</b>产业 (万元),第三产业 (万元),人均生产总值 ...",2019内蒙古统计年鉴_20-66 锡林郭勒盟二连浩特市 - 统计 ...
http://www.tjcn.org/tjgb/05nmg/36395.html,初步核算，全年地区生产总值2714.5<b>亿元</b>，按第四次全国经济普查修订数据后的同口径可比价格计算，比上年增长6.0%。 其中，第一产业增加值96.4亿元，增长1.1%；第二产业增加值1066.5亿元，增长8.2%,包头市2019年国民经济和社会发展统计公报 - 中国统计信息网
https://tjgb.hongheiku.com/xjtjgb/xj2020/22072.html,初步核算，全年地区生产总值完成65.94亿元，按可比价格计算，同比下降0.3%。 其中，第一产业增加值0.87亿元，同比增长0.5%；第二产业增加值10.3亿元，同比增长9.0%；第三产业增加值54.77亿元，同比下降1.8%。 三次产业比例为1.3：15.6：83.1。 按常住人口计算，全年人均地区生产总值实现92039元，同比下降11.<b>2</b>%。 全年城镇新增就业1165人，同比增加379人。 失业人员再就业546人，失业保险参保人数6547人，发放创业担保贷1527万元，带动就业人数383人。 年末城镇登记失业率<b>2</b>.49%。 <b>二</b>、农牧业. 全年农作物播种面积95公顷，其中，蔬菜播种面积87公顷，全年蔬菜产量11710吨，同比增长0.1%。 肉类总产量1327.43吨，同比增长3.3%。,二连浩特市2020年国民经济和社会发展统计公报
http://www.huhhot.gov.cn/2022_sjkf/2022_tjgb/202004/t20200416_637188.html,全市经济保持了总体平稳、稳中向好、稳中提质的发展态势。 一、综合. 初步核算，全年全市生产总值2791.5亿元，按第四次全国经济普查修订数据后的同口径可比价计算，比上年增长5.5%。 其中，第一产业增加值114.2亿元，增长1.2%；第二产业增加值823.8亿元，增长2.2%；第三产业增加值1853.4亿元，增长7.3%。 三次产业比例为4.1:29.5:66.4。 第一、二、三产业对生产总值增长的贡献率分别为1.1%、12.4%和86.5%。 人均生产总值89138元，比上年增长5.1%。 年末全市常住人口313.7万人，比上年末增加1.1万人。 其中，城镇人口221.0万人，乡村人口92.7万人。 常住人口城镇化率为70.5%，比上年提高0.6个百分点。,呼和浩特市2019年国民经济和社会发展统计公报 - huhhot.gov.cn
http://www.elht.gov.cn/c/2020-11-20/57953.shtml,关于<b>二连浩特市2019年国民经济和社会发展计划执行情况与</b>2020年国民经济和社会发展计划草案的报告 ——在2020年11月17日市第十五届人民代表大会第三次会议上,关于二连浩特市2019年国民经济和社会发展计划执行情况与 ...
http://www.elht.gov.cn/c/2022-04-21/78663.shtml,根据地区生产总值统一核算结果，2021年全市地区生产总值完成74.56亿元，按可比价格计算，比上年增长1.7%，两年平均增长0.7%。 其中：第一产业增加值0.96亿元，同比增长4.<b>2</b>%，两年平均增长<b>2</b>.3%；第二产业增加值17.<b>2</b>亿元，同比下降5.<b>2</b>%，两年平均增长1.7%；第三产业增加值56.4亿元，同比增长<b>2</b>.9%，两年平均增长0.5%。 人均生产总值达到100564元，比上年增长3.8%。 年末全市常住人口为7.25万人。 其中，城镇常住人口为7.09万人，常住人口城镇化率为97.79%。 年末全市户籍总人口为36679人，比上年末增长<b>2</b>.07%。 户籍人口中，城镇人口34758人，乡村人口1921人，户籍人口城镇化率为94.8%。,二连浩特市2021年国民经济和社会发展统计公报 - elht
