url,abstract,title
https://dbas.gov.taipei/News.aspx?n=72EB69FFAC3565DF&sms=96C0B436A542605B,「<b>臺北市統計年報</b>」統計資料因資料蒐集、彙整及分析，係更新上年資料後於每年4月底發行，提供最新版 (113年臺北市統計年報)線上閱覽，同時可至「臺北市統計資料庫查詢系統」之「重要統計資料庫」項下「依年別查詢」、 「依行政區查詢」，以互動 ...,臺北市政府主計處-臺北市統計年報
https://www.stats.gov.cn/sj/zxfb/202402/t20240228_1947915.html,初步核算，全年国内生产总值[<b>2</b>]<b>1260582亿元</b>，比上年增长5.2%。 其中，第一产业增加值89755亿元，比上年增长4.1%；第二产业增加值482589亿元，增长4.7%；第三产业增加值688238亿元，增长5.8%。 第一产业增加值占国内生产总值比重为7.1%，第二产业增加值比重为38.3%，第三产业增加值比重为54.6%。 最终消费支出拉动国内生产总值增长4.3个百分点，资本形成总额拉动国内生产总值增长1.5个百分点，货物和服务净出口向下拉动国内生产总值0.6个百分点。 分季度看，一季度国内生产总值同比增长4.5%，二季度增长6.3%，三季度增长4.9%，四季度增长5.2%。 全年人均国内生产总值89358元，比上年增长5.4%。,中华人民共和国2023年国民经济和社会发展统计公报
https://www.stats.gov.cn/sj/tjgb/ndtjgb/,地方<b>统计</b>网站 <b>社会</b>团体网站 国际组织网站 版权所有: 国家<b>统计</b>局 联系我们 服务条款 网站地图 地址: 北京<b>市</b>西城区月坛南街57号 (100826) 京ICP备05034670号-2 京公网安备 11040102700142号 网站标识码bm36000002,年度统计公报 - 国家统计局
http://www.tjcn.org/tjgb/,您当前的位置： 首页 &gt; <b>统计公报</b> 中国 北京 天津 河北 山西 内蒙古 辽宁 吉林 黑龙江 上海 江苏 浙江 安徽 福建 江西 山东 河南 湖北 湖南 广东 广西 海南 重庆 四川 贵州 云南 西藏 陕西 甘肃 青海 宁夏 新疆 海南州<b>2023年国民经济和社会发展统计公报</b> 2024-07-29,统计公报 - 中国统计信息网
https://tjj.sh.gov.cn/tjgb/20240321/f66c5b25ce604a1f9af755941d5f454a.html,截至2023年12月31日，全市共有各类经营主体341.76万户，比上年末增长4.1%；注册资本（金）总量41.90万亿元，比上年末增长3.6%。 全年地方一般公共预算收入8312.50亿元，比上年增长9.3%；非税收入占全市地方一般公共预算收入比重为14.5%。 地方一般公共预算支出9638.51亿元，增长2.6%（见表2）。 全年税务部门组织的税收收入完成15794.30亿元（不含关税及海关代征税），增长2.1%。 全年全社会固定资产投资总额比上年增长13.8%。 其中，第三产业投资增长15.7%；外商投资经济投资增长22.3%（见表3）。 以上年价格为100，全年居民消费价格指数为100.3。,2023年上海市国民经济和社会发展统计公报
http://tjj.huhhot.gov.cn/tjyw/tjsj/tjgb/202405/t20240524_1716676.html,<b>2023年</b>，是首府<b>发展</b>史上具有里程碑意义的一年，习近平总书记再次亲临考察，给我们带来了巨大的政治关怀，国务院出台《关于推动内蒙古高质量<b>发展</b>奋力书写中国式现代化新篇章的意见》，自治区出台《关于支持呼和浩特<b>市</b>高质量<b>发展发展</b>的意见》，给我们 ...,呼和浩特市2023年国民经济和社会发展统计公报 - huhhot.gov.cn
http://www.qstheory.cn/dukan/qs/2024-03/16/c_1130089747.htm,<b>经济社会发展统计</b>图表：《<b>2023年国民经济和社会发展统计公报</b>》主要指标 - 求是网,经济社会发展统计图表：《2023年国民经济和社会发展统计 ...
http://www.tjcn.org/?lang=zh,《<b>中国统计年鉴2024</b>》<b>系统收录</b>了全国和各省、自治区、直辖市2023年经济、社会各方面，以及多个重要历史年份和近年全国主要统计数据，是一部全面反映中华人民共和国经济和社会发展情况的资料性年刊。,中国统计信息网 - 中国统计年鉴2024
https://tj.huaibei.gov.cn/xwzx/tjgb/57759094.html,淮北<b>市2023年国民经济和社会发展统计公报</b> 发布日期：2024-04-30 08:34 编辑：<b>市统计</b>局 来源：<b>市统计</b>局 阅读： 8064 次 字号： 大 中 小,淮北市2023年国民经济和社会发展统计公报_淮北市统计局
http://www.tjhq.gov.cn/zwgk/zfxxgkqjjg/qtjj/fdzdgknr28/tjxx28/202407/t20240704_6668570.html,<b>2023年</b>，<b>全区实现民营经济增加值77.13亿元</b>，<b>增长6.8%</b>，<b>占</b>全区地区生产总值比重38.9%，对GDP增长贡献率达33.0%，民营经济占比高于全市1.6个百分点，位居中心城区第一。,2023年国民经济和社会发展统计公报
