,标题,保有量(万辆),年份
0,2021年三明市国民经济和社会发展统计公报.csv,36.14,2021
1,2021年上饶市国民经济和社会发展统计公报.csv,111.43,2021
2,2021年东莞市国民经济和社会发展统计公报.csv,364.85,2021
3,2021年中山市国民经济和社会发展统计公报.csv,139.23,2021
4,2021年丹东市国民经济和社会发展统计公报.csv,54.7,2021
5,2021年丽水市国民经济和社会发展统计公报.csv,66.17,2021
6,2021年乌海市国民经济和社会发展统计公报.csv,22.32,2021
7,2021年乌鲁木齐市国民经济和社会发展统计公报.csv,138.98,2021
8,2021年乐山市国民经济和社会发展统计公报.csv,52.3456,2021
9,2021年云浮市国民经济和社会发展统计公报.csv,42.48,2021
10,2021年亳州市国民经济和社会发展统计公报.csv,76.1,2021
11,2021年佛山市国民经济和社会发展统计公报.csv,316.36,2021
12,2021年信阳市国民经济和社会发展统计公报.csv,82.06,2021
13,2021年克拉玛依市国民经济和社会发展统计公报.csv,16.53,2021
14,2021年六盘水市国民经济和社会发展统计公报.csv,69.21,2021
15,2021年兰州市国民经济和社会发展统计公报.csv,120.88,2021
16,2021年内江市国民经济和社会发展统计公报.csv,34.18,2021
17,2021年包头市国民经济和社会发展统计公报.csv,84.3,2021
18,2021年北京市国民经济和社会发展统计公报.csv,685.0,2021
19,2021年北海市国民经济和社会发展统计公报.csv,32.26,2021
20,2021年南京市国民经济和社会发展统计公报.csv,305.59,2021
21,2021年南平市国民经济和社会发展统计公报.csv,35.35,2021
22,2021年南昌市国民经济和社会发展统计公报.csv,138.0,2021
23,2021年南通市国民经济和社会发展统计公报.csv,225.3,2021
24,2021年南阳市国民经济和社会发展统计公报.csv,137.8,2021
25,2021年台州市国民经济和社会发展统计公报.csv,198.92,2021
26,2021年合肥市国民经济和社会发展统计公报.csv,254.48,2021
27,2021年吉安市国民经济和社会发展统计公报.csv,90.53,2021
28,2021年吉林市国民经济和社会发展统计公报.csv,78.1,2021
29,2021年吴忠市国民经济和社会发展统计公报.csv,31.39,2021
30,2021年呼和浩特市国民经济和社会发展统计公报.csv,132.8,2021
31,2021年咸宁市国民经济和社会发展统计公报.csv,31.34,2021
32,2021年哈尔滨市国民经济和社会发展统计公报.csv,222.2,2021
33,2021年嘉兴市国民经济和社会发展统计公报.csv,193.9,2021
34,2021年四平市国民经济和社会发展统计公报.csv,76.7567,2021
35,2021年固原市国民经济和社会发展统计公报.csv,29.48,2021
36,2021年大同市国民经济和社会发展统计公报.csv,85.3,2021
37,2021年天水市国民经济和社会发展统计公报.csv,34.73,2021
38,2021年威海市国民经济和社会发展统计公报.csv,104.1,2021
39,2021年娄底市国民经济和社会发展统计公报.csv,50.48,2021
40,2021年宁德市国民经济和社会发展统计公报.csv,33.58,2021
41,2021年安康市国民经济和社会发展统计公报.csv,71.16,2021
42,2021年安阳市国民经济和社会发展统计公报.csv,103.17,2021
43,2021年宜宾市国民经济和社会发展统计公报.csv,54.0,2021
44,2021年宜昌市国民经济和社会发展统计公报.csv,81.84,2021
45,2021年宝鸡市国民经济和社会发展统计公报.csv,46.4,2021
46,2021年宣城市国民经济和社会发展统计公报.csv,52.0,2021
47,2021年宿州市国民经济和社会发展统计公报.csv,72.49,2021
48,2021年岳阳市国民经济和社会发展统计公报.csv,77.22,2021
49,2021年崇左市国民经济和社会发展统计公报.csv,20.99,2021
50,2021年巴中市国民经济和社会发展统计公报.csv,58.9,2021
51,2021年常州市国民经济和社会发展统计公报.csv,160.2,2021
52,2021年平顶山市国民经济和社会发展统计公报.csv,83.3,2021
53,2021年广元市国民经济和社会发展统计公报.csv,33.32,2021
54,2021年广安市国民经济和社会发展统计公报.csv,33.2,2021
55,2021年廊坊市国民经济和社会发展统计公报.csv,134.5,2021
56,2021年开封市国民经济和社会发展统计公报.csv,80.21,2021
57,2021年张家界市国民经济和社会发展统计公报.csv,47.03,2021
58,2021年张掖市国民经济和社会发展统计公报.csv,35.02,2021
59,2021年徐州市国民经济和社会发展统计公报.csv,206.69,2021
60,2021年德州市国民经济和社会发展统计公报.csv,133.15,2021
61,2021年德阳市国民经济和社会发展统计公报.csv,60.8,2021
62,2021年怀化市国民经济和社会发展统计公报.csv,50.55,2021
63,2021年惠州市国民经济和社会发展统计公报.csv,156.83,2021
64,2021年成都市国民经济和社会发展统计公报.csv,633.6,2021
65,2021年扬州市国民经济和社会发展统计公报.csv,103.4,2021
66,2021年抚州市国民经济和社会发展统计公报.csv,454.9,2021
